#SAMPLE	Canonical_Smiles
SJ000551065-1	Cc1ccc(OCC(O)CNC2CCCCC2)cc1
SJ000550740-1	COc1ccc(Br)cc1CN2CCN(CC2)C3CCCC3
SJ000550546-1	COc1cc(COc2ccc(CN([C@H]3CCCCNC3=O)C(=O)C4=CN=C5C=CC=CN5C4=O)cc2)cc(OC)c1
SJ000550709-1	COc1ccc(Br)cc1CN2CCN(CC2)C3CC4CCC3C4
SJ000550544-1	CCOC(=O)c1cnc2c(OC)cccc2c1NC(C)c3ccccc3
SJ000550705-1	COc1ccc(Br)cc1CN2CCN(CC2)C3CCCCC3
SJ000551393-1	COc1ccc(Nc2cc(nc(n2)c3ccc(Br)cc3)N4CCOCC4)cc1
SJ000550561-1	CCOC(=O)c1cnc2c(Cl)cccc2c1Nc3cccc(c3)C(=O)C
SJ000551423-1	C1CN(CCO1)c2nc(nc(n2)N3CCOCC3)N(c4ccccc4)c5ccccc5
SJ000551392-1	OCCNc1cc(nc(n1)c2ccc(Br)cc2)N3CCOCC3
SJ000551394-1	Brc1ccc(cc1)c2nc(cc(n2)N3CCOCC3)N4CCOCC4
SJ000551395-1	Clc1cc(nc(n1)c2ccc(Br)cc2)N3CCOCC3
SJ000551740-1	O=C1N(Cc2occc2)C(=Nc3ccccc13)SCc4cn5ccccc5n4
SJ000550920-1	COc1cccc(c1)n2c(CNC(=O)c3cccc(F)c3)nnc2SCCc4ccccc4
SJ000550457-1	CC(C)CCN1C=C(C(=O)NC(C)(C)C)C(=O)C(=C1)C(=O)N2CCN(Cc3ccncc3)CC2
SJ000550526-1	CCOc1cc2CCNC(c3cc(OC)c(OC)cc3Br)c2cc1OCC
SJ000551756-1	Fc1ccccc1NC(=O)CSc2nnc3ccc4ccccc4n23
SJ000550497-1	O=C(NCC1CCCCC1)C2=CN(C=C(C(=O)NC3CCN(Cc4ccccc4)C3)C2=O)C5CC5
SJ000550506-1	CCCCNC(=O)C1=CN(C=C(C(=O)N2CCN(CC2)C(C)C)C1=O)C3CCCCC3
SJ000550509-1	CCCCNC(=O)C1=CN(C=C(C(=O)NC2CCN(Cc3ccccc3)C2)C1=O)C4CCCCC4
SJ000551687-1	CN(C)Cc1c(O)ccc2C(=O)C(=C(Oc12)C(F)(F)F)Oc3ccc(cc3)C(C)(C)C
SJ000550562-1	CCOC(=O)c1cnc2c(Cl)cccc2c1Nc3cccc(c3)C(=O)OC
SJ000550778-1	CC[n+]1c(\C=C\N2CCCc3ccccc23)sc4cc(C)c(C)cc14
SJ000551073-1	CCN(CC)CC(O)COc1ccc(CNC2CCCCC2)cc1OC
SJ000550722-1	Oc1ccc(Cl)cc1CN2CCCC(C2)N3CCCC3
SJ000551040-1	Cc1ccc(C)c(OCC(O)CNC2CCCC2)c1
SJ000550724-1	OCCC1CN(Cc2cc(Cl)ccc2O)CCN1CCc3ccccc3
SJ000550714-1	Clc1ccccc1N2CCN(CC3CC4CC3C=C4)CC2
SJ000551108-1	CSc1nnc(CNC(=O)c2ccccc2C(F)(F)F)n1c3ccccc3C
SJ000550723-1	COc1ccc(CN2CCN(C(CCO)C2)C3CCCC3)c(O)c1
SJ000550945-1	COc1ccc(cc1)n2c(CNC(=O)c3cccc(Cl)c3)nnc2SCc4ccccc4
SJ000551673-1	CCC1CCCCN1Cc2c(O)ccc3C(=O)C(=C(Oc23)C(F)(F)F)Oc4ccc(OC)cc4
SJ000551013-1	OCC1(Cc2ccccc2C(F)(F)F)CCN(CC1)S(=O)(=O)c3ccccc3
SJ000551637-1	CN1C(=O)N(C)c2cc(CNC3CCCCC3)ccc12
SJ000551693-1	Cc1ccc2[nH]c(nc2c1)c3ccc(Br)cc3
SJ000551697-1	CCN(CC)c1ccc(cc1)c2nc3cc(C)ccc3[nH]2
SJ000550977-1	OCC1(Cc2cccc(c2)C(F)(F)F)CCN(CC1)S(=O)(=O)c3ccc(OC(F)(F)F)cc3
SJ000551635-1	COc1cc(cc(OC)c1OC)C2C(=C(C)NC3=C2C(=O)CC(C3)c4ccccc4)C(=O)Nc5ccc(F)cc5
SJ000550976-1	OCC1(Cc2cccc(c2)C(F)(F)F)CCN(CC1)S(=O)(=O)c3cccc(c3)C(F)(F)F
SJ000551704-1	Cc1ccc2c(c1)c3CCCC4N(Cc5ccccc5F)CCCn2c34
SJ000550975-1	COc1ccc(CC2(CO)CCN(CC2)S(=O)(=O)c3cccc(c3)C(F)(F)F)cc1
SJ000550985-1	COc1cc(CNc2nnnn2C)ccc1OCc3cccc(Cl)c3
SJ000551634-1	COc1cccc(c1)C2C(=C(C)NC3=C2C(=O)CC(C3)c4ccccc4)C(=O)Nc5ccc(F)cc5
SJ000339253-2	COc1ccc(Cl)cc1CNc2nnnn2C
SJ000551706-1	Cc1cccc(CN2CCCn3c4C2CCCc4c5cc(C)ccc35)c1
SJ000550986-1	CCOc1cc(CNc2nnnn2C)ccc1OCc3ccccc3
SJ000550988-1	COc1cc(CNc2nnnn2C)ccc1OCc3ccccc3F
SJ000551068-1	Cc1ccc(OCC(O)CNC2CCCC2)c(C)c1
SJ000551705-1	CC(C)c1ccc(CN2CCCn3c4C2CCCc4c5cc(C)ccc35)cc1
SJ000550987-1	COc1cccc(CNc2nnnn2C)c1OCc3ccc(C)cc3
SJ000551636-1	Clc1ccc2N(Cc3ccccc3)C(=O)N(Cc4ccccc4)c2c1
SJ000550984-1	COc1cc(CNc2nnnn2C)cc(Cl)c1OCc3ccc(C)cc3
SJ000551331-1	COc1ccc(CNC(=O)Nc2cccc(F)c2)cc1OC
SJ000551699-1	COCCOC(=O)c1c(C)oc2ccc(OCC(=C)C)cc12
SJ000551072-1	CCc1ccc(OCCOCC(O)CNC2CCCC2)cc1
SJ000551015-1	Cc1n[nH]c(C)c1S(=O)(=O)N2CCC(CO)(Cc3ccccc3C(F)(F)F)CC2
SJ000551738-1	Clc1ccccc1C2NCCc3c2[nH]c4ccccc34
SJ000550670-1	OC(CN1CCN(CC1)c2ccccc2)Cn3c4ccccc4c5ccccc35
SJ000551143-1	CN1C(=O)N(C)c2nc(SCC(=O)Nc3cccc(c3)C(F)(F)F)n(C)c2C1=O
SJ000550893-1	CC(=O)Nc1ccc2[nH]c(nc2c1)c3ccc(cc3)c4nc5cc(NC(=O)C)ccc5[nH]4
SJ000551297-1	Cc1c(Br)c(nn1C)C(=O)Nc2ccc(cc2Cl)[N+](=O)[O-]
SJ000551301-1	CCn1ncc(Cl)c1C(=O)Nc2cc(ccc2OC)[N+](=O)[O-]
SJ000551348-1	Cn1ncc(I)c1C(=O)Nc2ccc(F)c(c2)[N+](=O)[O-]
SJ000551288-1	Cc1c(Br)c(nn1C)C(=O)N\N=C\c2ccccc2[N+](=O)[O-]
SJ000551316-1	Cc1cc(C(=O)Nc2cc(Oc3ccc(Cl)c(C)c3)cc(c2)[N+](=O)[O-])n(C)n1
SJ000551350-1	Cc1sc(NC(=O)c2nn(C)cc2I)c(C#N)c1C
SJ000551062-1	OC(CNC1CCCCC1)COc2ccc(OCc3ccccc3)cc2
SJ000551289-1	Cn1ncc(Cl)c1C(=O)N\N=C\c2ccc(cc2)[N+](=O)[O-]
SJ000550488-1	CCOC(=O)C1=C(C)NC2=C(C1c3ccc(OC)c(OC)c3)C(=O)CC(C2)c4occc4
SJ000551315-1	COC(=O)c1ccc(C)c(NC(=O)c2c(Cl)cnn2C)c1
SJ000550382-1	CCCOc1ccccc1C2C(=C(C)NC3=C2C(=O)CC(C3)c4ccc(Cl)cc4)C(=O)OCC
SJ000550396-1	COc1ccc(cc1)C2CC3=C(C(C(=C(C)N3)C(=O)OCCOc4ccccc4)c5cccc(Br)c5)C(=O)C2
SJ000550397-1	CC1=C(C(C2=C(CC(CC2=O)c3ccc(Cl)cc3)N1)c4ccc(C)cc4)C(=O)OCCOc5ccccc5
SJ000551000-1	Cc1cc(C)nc(n1)n2nc(C)c(C#N)c2NC(=O)c3ccccc3
SJ000550426-1	CC1=C(C(C2=C(CC(CC2=O)c3ccc(Cl)cc3)N1)c4cccc(Cl)c4)C(=O)OCCOc5ccccc5
SJ000551001-1	COc1cccc(c1)c2cc(O)n(n2)c3nc(C)cc(C)n3
SJ000551003-1	Cc1ccc(cc1)C(=O)Nc2c(cnn2c3nc(C)cc(C)n3)C#N
SJ000551025-1	Cc1cccc(c1)C(=O)Nc2c(cnn2c3nc(C)cc(C)n3)C#N
SJ000551026-1	Cc1cc(C)nc(n1)n2ncc(C#N)c2NC(=O)c3ccc(cc3)c4ccccc4
SJ000551002-1	Cc1cc(C)nc(n1)n2ncc(C#N)c2NC(=O)c3cccc(Cl)c3
SJ000551193-1	CCOC(=O)c1c(C)oc2ccc(OC(=O)c3ccccc3C)cc12
SJ000551204-1	COCCOC(=O)c1c(C)oc2ccc(OCc3c(F)c(F)c(F)c(F)c3F)cc12
SJ000551142-1	Cc1sc2N=C(SCC(=O)Nc3cccc(c3)C(F)(F)F)N(CC=C)C(=O)c2c1C
SJ000551201-1	CCOC(=O)c1c(C)oc2ccc(OC(=O)c3ccccc3OC)cc12
SJ000551145-1	Cc1sc2N=C(SCC(=O)Nc3cc(ccc3Cl)C(F)(F)F)N(CC=C)C(=O)c2c1C
SJ000551200-1	CCOC(=O)c1c(C)oc2ccc(OC(=O)c3ccc(C)cc3)cc12
SJ000551144-1	CN1C(=Nc2sc3CCCCc3c2C1=O)SCC(=O)Nc4cc(ccc4Cl)C(F)(F)F
SJ000551199-1	COCCOC(=O)c1c(C)oc2ccc(OC(=O)c3ccc(Cl)cc3)cc12
SJ000551197-1	COCCOC(=O)c1c(C)oc2ccc(OC(=O)c3ccc(OC)c(OC)c3)cc12
SJ000550805-1	COc1cc2N=C(OC(=O)c2cc1OC)\C=C\c3occc3
SJ000551343-1	Cc1ccc(cc1NC(=O)c2c(Cl)c(C)nn2C)[N+](=O)[O-]
SJ000551024-1	Cc1cc(C)nc(n1)n2ncc(C#N)c2NC(=O)c3ccc(F)cc3
SJ000550839-1	COc1ccc(Br)cc1\C=C\c2nc(O)c3ccccc3n2
SJ000551005-1	Cc1cc(C)nc(n1)n2ncc(C#N)c2NC(=O)c3ccccc3
SJ000550836-1	COc1ccccc1\C=C\C2=Nc3ccc(OC(=O)C)cc3C(=O)O2
SJ000550922-1	CCOc1ccc(cc1OCC)C(=O)NCc2onc(n2)c3cccc(C)c3
SJ000550997-1	CC(=O)Nc1c(cnn1c2ccccc2Cl)C(=O)N3CCN(CC3)c4ncccn4
SJ000551018-1	Cc1cc(O)n(n1)c2nc(O)cc(n2)c3ccccc3
SJ000550935-1	Cc1cc(O)n(n1)c2nc(cc(n2)c3ccccc3)c4ccccc4
SJ000550931-1	COc1ccc(cc1)C(=O)Nc2cc(C)nn2c3nc4ccccc4[nH]3
SJ000550998-1	Cc1cc(NC(=O)c2ccc(Cl)cc2)n(n1)c3nc4ccccc4[nH]3
SJ000550832-1	COc1cc2N=C(OC(=O)c2cc1OC)\C=C\c3ccccc3OC
SJ000551113-1	CCC(=O)Nc1cc(NC(=O)CSc2nccn2C)ccc1OC
SJ000551400-1	Nc1nc(N)nc(n1)C(c2ccccc2)c3ccccc3
SJ000550734-1	CC(C)N1CCN(Cc2cc(Br)ccc2O)CC1
SJ000551399-1	Cc1cc(nc(n1)c2ccccc2O)N3CCOCC3
SJ000551401-1	CN(C)c1nc(nc(n1)N2CCOCC2)N(CCOc3ccccc3C)C#N
SJ000551396-1	Cc1cc(nc(n1)c2ccc(Br)cc2)N3CCOCC3
SJ000551306-1	CC(C)Nc1nc(nc(n1)N2CCOCC2)N(c3ccccc3)c4ccccc4
SJ000551417-1	Oc1cc(nc(n1)N2CCCCC2)c3ccccc3
SJ000551411-1	CC(C)N(C#N)c1nc(nc(n1)N2CCOCC2)N(C)C
SJ000551408-1	CNc1nc(nc(n1)N2CCOCC2)N(c3ccccc3)c4ccccc4
SJ000551402-1	CN(C)c1nc(nc(n1)N2CCOCC2)N(Cc3ccccc3)C#N
SJ000551422-1	FC(F)(F)COc1nc(nc(n1)N2CCCCC2)N(c3ccccc3)c4ccccc4
SJ000550622-1	CN(C)c1nc(nc(n1)N2CCOCC2)N(CCOc3ccc(C)cc3)C#N
SJ000551406-1	CCCCCNc1nc(nc(n1)N2CCOCC2)N(c3ccccc3)c4ccccc4
SJ000551415-1	CN(C)c1nc(nc(n1)N2CCOCC2)N(CCOc3ccccc3)C#N
SJ000551218-1	COC(=O)c1ccc(COc2ccc3oc(C)c(C(=O)OC)c3c2)cc1
SJ000551373-1	Clc1nc(NCC=C)nc(n1)N(c2ccccc2)c3ccccc3
SJ000551360-1	CCOc1cc2c(C(=O)OCCOC)c(C)oc2cc1Br
SJ000550741-1	Clc1cccc(CN2CCN(CC3CC4CC3C=C4)CC2)c1
SJ000551187-1	COC(=O)c1oc(C)c(COc2ccc3oc(C)c(C(=O)OC)c3c2)c1
SJ000550706-1	COc1ccc(Br)cc1CN2CCN(CC3CC4CC3C=C4)CC2
SJ000551119-1	CCOC(=O)c1c(C)oc2cc(CN(C)C)c(O)cc12
SJ000550733-1	Oc1ccc(Br)cc1CN2CCN(CC2)C3CCCCCC3
SJ000551385-1	CCOC(=O)c1c(C)oc2c(F)c(F)c(F)c(F)c12
SJ000550742-1	COc1ccc(Br)cc1CN2CCN(CC2)C3CCCC(C)C3
SJ000550731-1	Oc1ccc(Br)cc1CN2CCN(CC3CC4CC3C=C4)CC2
SJ000551194-1	CCOC(=O)c1c(C)oc2ccc(OC(=O)c3oc4ccccc4c3)cc12
SJ000551247-1	O=C(N1CCN(Cc2ccccc2)CC1)c3cc4nc(cc(c5ccccc5)n4n3)c6ccccc6
SJ000551248-1	Cc1cc(nc2cc(nn12)C(=O)N3CCOCC3)c4ccccc4
SJ000550901-1	C(Nc1cccc(c1)c2nc3ccccc3[nH]2)c4cccnc4
SJ000550552-1	O=C(Nc1ccc2CCCc2c1)c3ccc4C(=O)N5CCCCCC5=Nc4c3
SJ000550903-1	COc1ccc(cc1)C(=O)Nc2ccccc2c3nc4ccccc4[nH]3
SJ000550551-1	O=C(Nc1ccc2OCCOc2c1)c3ccc4C(=O)N5CCCCCC5=Nc4c3
SJ000550906-1	Brc1ccc(CC(=O)Nc2cccc(c2)c3nc4ccccc4[nH]3)cc1
SJ000551230-1	COc1cc(NC(=O)c2cc3NC(CC(n3n2)C(F)(F)F)c4ccc(Br)cc4)cc(OC)c1OC
SJ000550904-1	Clc1ccc(cc1NC(=O)c2cccnc2)c3nc4ccccc4[nH]3
SJ000550907-1	Cc1ccc(cc1NC(=O)CCc2ccccc2)c3nc4ccccc4[nH]3
SJ000550421-1	Cc1ccc2nc(cc(C(=O)N3CCC(Cc4ccccc4)CC3)c2c1)c5cccnc5
SJ000550915-1	COc1ccc(CC(=O)Nc2cccc(c2)c3nc4ccccc4[nH]3)cc1
SJ000550434-1	CN1CCN(CC1)C(=O)c2cc(nc3ccccc23)c4ccccn4
SJ000550912-1	O=C(Cc1cccc2ccccc12)Nc3ccc(cc3)c4nc5ccccc5[nH]4
SJ000550602-1	Clc1ccc2nc(cc(C(=O)N3CCC(Cc4ccccc4)CC3)c2c1)c5ccncc5
SJ000550911-1	CCC(C(=O)Nc1cccc(c1)c2nc3ccccc3[nH]2)c4ccccc4
SJ000550601-1	Fc1ccc(CN2CCN(CC2)C(=O)c3cc(nc4ccc(Cl)cc34)c5cccnc5)c(Cl)c1
SJ000550910-1	CCC(C(=O)Nc1ccc(cc1)c2nc3ccccc3[nH]2)c4ccccc4
SJ000550591-1	Cc1c(Cl)ccc2c(cc(nc12)c3ccncc3)C(=O)NCCN4CCOCC4
SJ000550424-1	CCN1CCN(CC1)C(=O)c2cc(nc3ccc(Br)cc23)c4cccnc4
SJ000550918-1	Cc1cccc(OCC(=O)Nc2ccc(cc2)c3nc4ccccc4[nH]3)c1
SJ000550592-1	COc1cccc(CN2CCN(CC2)C(=O)c3cc(nc4ccc(C)cc34)c5ccncc5)c1
SJ000550916-1	Cc1c(NC(=O)c2ccc(cc2)c3ccccc3)cccc1c4nc5ccccc5[nH]4
SJ000550909-1	Clc1ccc(NC(=O)c2cccnc2)cc1c3nc4ccccc4[nH]3
SJ000550555-1	O=C(NCCCN1CCOCC1)c2ccc3C(=O)N4CCCCCC4=Nc3c2
SJ000550908-1	COc1cc(OC)cc(c1)C(=O)Nc2ccc(cc2)c3nc4cc(C)ccc4[nH]3
SJ000551232-1	CCN(CC)C(=O)C(=O)Nc1ccc(OCc2ccccc2)cc1
SJ000550882-1	OC(=O)c1ccccc1c2ccccc2C(=O)Nc3cccc(c3)c4nc5ccccc5[nH]4
SJ000551233-1	CCN(CC)C(=O)C(=O)Nc1ccc(Oc2ccccc2)cc1
SJ000550881-1	Nc1ccc(cc1)c2nc3cc(ccc3[nH]2)C(=O)c4ccc5[nH]c(nc5c4)c6ccc(N)cc6
SJ000551234-1	CCOc1ccc(NC(=O)C(=O)N(CC)CC)cc1
SJ000550891-1	Cc1nc2cc(ccc2[nH]1)c3ccc4[nH]c(C)nc4c3
SJ000550556-1	O=C1N2C(=Nc3ccccc13)CCCc4ccccc24
SJ000550880-1	Nc1cccc(c1)c2nc3cc(Oc4ccc5[nH]c(nc5c4)c6cccc(N)c6)ccc3[nH]2
SJ000550566-1	COc1ccc2ncc(C(=O)O)c(Nc3ccccc3C)c2c1
SJ000550894-1	O=C(Nc1ccc(cc1)c2nc3cc(ccc3[nH]2)c4nc5cc(NC(=O)c6cccc7ccccc67)ccc5[nH]4)c8cccc9ccccc89
SJ000550888-1	c1ccc2[nH]c(nc2c1)c3cccc(n3)c4nc5ccccc5[nH]4
SJ000550542-1	CCOC(=O)c1cnc2ccc(OC)cc2c1Nc3ccc(cc3)C(=O)C
SJ000550883-1	O=C(Cc1ccccc1)Nc2cccc(c2)c3nc4ccccc4[nH]3
SJ000550884-1	O=C(Cc1ccccc1)Nc2ccc(cc2)c3nc4ccccc4[nH]3
SJ000550919-1	Cc1ccc(cc1NC(=O)Cc2ccccc2)c3nc4ccccc4[nH]3
SJ000550522-1	CCOC(=O)c1cnc2ccc(OCC)cc2c1Nc3cccc(O)c3
SJ000550898-1	O=C(Cc1ccccc1)Nc2ccc(cc2)c3nc4cc(ccc4[nH]3)c5nc6cc(NC(=O)Cc7ccccc7)ccc6[nH]5
SJ000550558-1	CCOC(=O)c1cnc2ccc(C)cc2c1Nc3ccc(OC)cc3
SJ000550554-1	Fc1ccc(F)c(NC(=O)c2ccc3C(=O)N4CCCCCC4=Nc3c2)c1
SJ000550563-1	CCOC(=O)c1cnc2ccccc2c1Nc3ccc4OCCOc4c3
SJ000551217-1	COc1ccc(cc1)N2C(Nc3ccccc3C2=O)c4ccc(C)cc4
SJ000550695-1	Cc1ccc(CNC(=O)CC2Sc3ccccc3NC2=O)cc1
SJ000551282-1	COc1ccc(NC(=O)C2CC2c3ccc(Cl)cc3)c(C)c1
SJ000551216-1	Cc1ccc(cc1)C2Nc3ccccc3C(=O)N2c4ccc(C)cc4
SJ000551177-1	COc1cc(OC)c(cc1\C=N\NC(=O)C2CC2(c3ccccc3)c4ccccc4)[N+](=O)[O-]
SJ000550641-1	COC(=O)c1ccc(NC(=O)CC2N(CC(C)C)C(=O)N(C2=O)c3ccc(C)cc3)cc1
SJ000551279-1	Cc1ccc(NC(=O)CC(c2ccccc2)c3ccccc3)c(Br)c1
SJ000551182-1	Cc1cccc(c1)C2(CC2C(=O)N\N=C\c3ccc(cc3)[N+](=O)[O-])c4cccc(C)c4
SJ000550701-1	O=C(CC1Sc2ccccc2NC1=O)NC3CCCC3
SJ000551172-1	Cc1ccc(cc1)C2(CC2C(=O)Nc3cc(ccc3C)[N+](=O)[O-])c4ccc(C)cc4
SJ000550699-1	Oc1nc2ccc(Cl)cc2c(c1SCC(=O)N3CCN(CC3)C(=O)c4occc4)c5ccccc5
SJ000551173-1	Cc1cccc(c1)C2(CC2C(=O)Nc3ccc(cc3O)[N+](=O)[O-])c4cccc(C)c4
SJ000550687-1	COC(=O)c1ccc(NC(=O)CC2N(CC=C)C(=O)N(C2=O)c3cccc(C)c3)cc1
SJ000551176-1	COc1cc(\C=N\NC(=O)C2CC2(c3ccccc3)c4ccccc4)cc(c1O)[N+](=O)[O-]
SJ000551180-1	[O-][N+](=O)c1ccc(NC(=O)C2CC2(c3ccccc3)c4ccccc4)c(Br)c1
SJ000550646-1	CCCOc1ccc(NC(=O)CC2N(CC(C)C)C(=O)N(C2=O)c3cccc(C)c3)cc1
SJ000550664-1	CCOC(=O)c1ccc(NC(=O)CC2N(Cc3ccccn3)C(=O)N(C2=O)c4ccccc4)cc1
SJ000551106-1	CCOc1cc(cc(Br)c1O)C2CC(=O)NC3=C2C(=O)CC(C3)c4cc(OC)ccc4OC
SJ000551195-1	COC(=O)c1c(C)oc2ccc(OC(=O)c3ccc(Cl)cc3)cc12
SJ000550925-1	[O-][N+](=O)c1ccc(Cl)c(c1)C2CC(=O)NC3=C2C(=O)CC(C3)c4cccs4
SJ000551159-1	CN(C)c1ccc(cc1)N2C(Nc3ccccc3C2=O)c4ccc(Cl)cc4
SJ000551272-1	CN(Cc1ccc(cc1)n2cccn2)C(=O)c3cc4NC(CC(n4n3)C(F)(F)F)c5ccc(C)cc5
SJ000551271-1	CN1CCN(CC1)C(=O)c2cc3nc(cc(n3n2)C(F)(F)F)c4ccc(C)cc4
SJ000550616-1	CCOc1cc2CCNC(c2cc1OCC)c3c(OC)ccc4ccccc34
SJ000551724-1	COc1ccc(CN2CCCn3c4C2CCCc4c5cc(C)ccc35)cc1O
SJ000551721-1	COc1cc(CN2CCCn3c4C2CCCc4c5cc(C)ccc35)cc(OC)c1O
SJ000551728-1	COc1ccc(CN2CCCn3c4C2CCCc4c5cc(C)ccc35)c(OC)c1
SJ000550619-1	CCOc1ccc(cc1OC)C2NCCc3cc(OCC)c(OC)cc23
SJ000550618-1	CCOc1cc2CCNC(c3ccc(Cl)cc3)c2cc1OCC
SJ000551714-1	CCOc1cccc(CN2CCCn3c4C2CCCc4c5cc(C)ccc35)c1O
SJ000550524-1	CCOc1ccc(cc1OC)C2NCCc3cc(OC)c(OC)cc23
SJ000551722-1	COc1cc(OC)c(OC)cc1CN2CCCn3c4C2CCCc4c5cc(C)ccc35
SJ000551725-1	Cc1ccc2c(c1)c3CCCC4N(Cc5cccc(O)c5)CCCn2c34
SJ000550525-1	CCOc1cc2CCNC(c3ccc(O)cc3)c2cc1OCC
SJ000551730-1	Cc1ccc2c(c1)c3CCCC4N(Cc5ccc(Br)cc5)CCCn2c34
SJ000550429-1	CCc1ccc(cc1)c2cc(C(=O)N3CCN(CC3)c4ccccc4)c5ccccc5n2
SJ000550578-1	COc1ccc(c(OC)c1)c2cc(C(=O)NCCN3CCOCC3)c4ccccc4n2
SJ000550430-1	COc1cccc(c1)c2cc(C(=O)NCCCN3CCOCC3)c4ccccc4n2
SJ000551739-1	Clc1ccc(C2NCCc3c2[nH]c4ccccc34)c(Cl)c1
SJ000550432-1	CN1CCN(CC1)C(=O)c2cc(nc3ccccc23)c4ccccc4
SJ000551708-1	Clc1cccc(C2NCCc3c2[nH]c4ccccc34)c1Cl
SJ000551284-1	CC1CCCC(C)N1CC(O)Cn2c3ccccc3c4ccccc24
SJ000550593-1	Clc1ccc2nc(cc(C(=O)N3CCN(CCc4ccccc4)CC3)c2c1)c5ccccn5
SJ000550863-1	OC(CNCCc1ccccc1)Cn2c3ccc(Br)cc3c4cc(Br)ccc24
SJ000550673-1	OC(CNCC1CCCO1)Cn2c3ccc(Br)cc3c4cc(Br)ccc24
SJ000551689-1	Oc1ccc2C(=O)C(=C(Oc2c1CN3CCN(Cc4ccccc4)CC3)C(F)(F)F)c5ccccc5
SJ000550867-1	OC(CNCc1ccccc1)Cn2c3ccc(Cl)cc3c4cc(Cl)ccc24
SJ000550861-1	OC(CN1CCN(CC1)C2c3ccccc3c4ccccc24)Cn5c6ccccc6c7ccccc57
SJ000551665-1	COc1ccc(cc1OC)C2=C(Oc3c(CN4CCCC(C)C4)c(O)ccc3C2=O)C(F)(F)F
SJ000550871-1	OC(CN1CCCCC1)Cn2c3ccc(I)cc3c4cc(I)ccc24
SJ000551664-1	CN(C)Cc1c(O)ccc2C(=O)C(=C(Oc12)C(F)(F)F)Oc3ccc(Br)cc3
SJ000550854-1	OC(CN1CCCCC1)Cn2c3ccc(Br)cc3c4cc(Br)ccc24
SJ000551682-1	CC1CN(Cc2c(O)ccc3C(=O)C(=C(Oc23)C(F)(F)F)Oc4ccc5ccccc5c4)CC(C)O1
SJ000551649-1	CN1CCN(Cc2c(O)ccc3C(=O)C(=C(Oc23)C(F)(F)F)Oc4ccc5ccccc5c4)CC1
SJ000550849-1	OC(CN(C1CCCCC1)C2CCCCC2)Cn3c4ccccc4c5ccccc35
SJ000550850-1	OC(CN1CCCCCC1)Cn2c3ccc(Cl)cc3c4cc(Cl)ccc24
SJ000551648-1	Oc1ccc2C(=O)C(=C(Oc2c1CN3CCOCC3)C(F)(F)F)Oc4ccc5ccccc5c4
SJ000551662-1	CCc1cc2C(=O)C(=C(Oc2c(CN3CCCCC3)c1O)C(F)(F)F)c4ccc(F)cc4
SJ000551663-1	CN(C)Cc1c(O)ccc2C(=O)C(=C(Oc12)C(F)(F)F)Oc3ccccc3
SJ000550744-1	CN1\C(=C/2\S\C(=N/c3ccc4sc(C)nc4c3)\N(Cc5ccccc5)C2=O)\Sc6ccccc16
SJ000551660-1	CCc1cc2C(=O)C(=C(Oc2c(CN(C)C)c1O)C(F)(F)F)Oc3ccccc3F
SJ000550745-1	COc1ccc2S\C(=C\3/S\C(=N/c4ccc(O)cc4)\N(C3=O)c5ccccc5)\N(C)c2c1
SJ000551679-1	Oc1ccc2C(=O)C(=C(Oc2c1CN3CCCCC3)C(F)(F)F)Oc4ccccc4
SJ000550431-1	Brc1ccc(cc1)c2cc(C(=O)N3CCC(Cc4ccccc4)CC3)c5ccccc5n2
SJ000551050-1	[O-][N+](=O)c1ccc(cc1NC2CC2)N3CCN(CC3)C(=O)c4cccc5ccccc45
SJ000551759-1	COc1cc(cc(OC)c1OC)C2CC(=O)n3c(S2)nc4ccccc34
SJ000550957-1	COc1cccc(c1)C2CC3=C(C(CC(=O)N3)c4cc(OC)c(OC)c(OC)c4)C(=O)C2
SJ000551751-1	CCOC(=O)c1c(NC(=O)CSc2nnc3ccc4ccccc4n23)scc1c5ccccc5
SJ000551055-1	CC(Nc1cc(ccc1[N+](=O)[O-])N2CCN(CC2)C(=O)c3cccc(C)c3)c4ccccc4
SJ000551760-1	O=C1C=C(CSC2=Nc3ccccc3C(=O)N2Cc4ccc5OCOc5c4)N=C6C=CC=CN16
SJ000551028-1	CC(C)c1ccc(CNc2cc(ccc2[N+](=O)[O-])N3CCN(CC3)C(=O)c4ccc(Cl)cc4)cc1
SJ000551303-1	Cc1nn(C)c(C(=O)Nc2ccc(cc2Cl)[N+](=O)[O-])c1Br
SJ000551304-1	Cc1c(Br)c(nn1C)C(=O)Nc2cc(ccc2F)[N+](=O)[O-]
SJ000550775-1	Cc1ccc(cc1)n2nnc(c2N)c3nc4ccccc4s3
SJ000551757-1	Cc1cc2ccccc2n3c(SCC(=O)NCc4ccc5OCOc5c4)nnc13
SJ000550598-1	O=C(N1CCN(CC1)C(c2ccccc2)c3ccccc3)c4cc(nc5ccccc45)c6ccccn6
SJ000550869-1	OC(CN1CCCC1)Cn2c3ccc(Cl)cc3c4cc(Cl)ccc24
SJ000550872-1	CN1CCN(CC(O)Cn2c3ccccc3c4cc(Cl)ccc24)CC1
SJ000551030-1	CNc1cc(ccc1[N+](=O)[O-])N2CCN(CC2)C(=O)c3ccc(cc3)C(C)(C)C
SJ000550864-1	OC(CNC1CCCCC1)Cn2c3ccccc3c4ccccc24
